날짜,금융투자,보험,투신,사모,은행,기타금융,연기금,기타법인,개인,외국인,기타외국인,기관합계,전체
2021-06-08,159694850,-85595900,-225240150,0,0,-19218350,-390769200,2727370950,-2415709100,250932900,-1466000,2166242200,0
2021-06-09,996449200,125235950,349574550,277288600,0,0,0,-3257806500,-112199950,1861753500,-240295350,-1509258200,0
2021-06-10,3561174000,-373178450,-1163860850,205460050,0,-28710450,199395600,-4428618700,6097427050,-4034386650,-34701600,-2028338800,0
2021-06-11,-110800000,-999667150,-502579450,218151450,0,0,468756100,-1867984150,5551318450,-2755836150,-1359100,-2794123200,0
2021-06-14,-233256700,-700119600,-968195900,-170459950,0,0,-242450950,-3571984300,5997165800,-149239500,38541100,-5886467400,0
2021-06-15,-221257550,-575504500,-478047500,-784550,0,-5611900,374600600,-1816258050,2097204650,616480250,9178550,-2722863450,0
2021-06-16,-108538100,-128352850,-616616350,-77541300,0,0,-584550400,7234694200,-3787783650,-1879342100,-51969450,5719095200,0
2021-06-17,636472750,-38135450,604406450,275615850,0,0,2650,2688654450,-6269396100,2097766500,4612900,4167016700,0
2021-06-18,-118556200,-784585900,-185037950,-19379000,0,0,-87317800,1927819400,-256174000,-480580300,3811750,732942550,0
2021-06-21,-1045804650,-739919550,-900521200,-3067806700,-134803300,-33102700,-1939555350,2715221800,5976317450,-966777950,136752150,-5146291650,0
2021-06-22,-56790050,-622864100,-74404050,-194514050,0,0,-179248300,6510384750,-6171040600,801732700,-13256300,5382564200,0
2021-06-23,382684550,-567989050,-1299437450,-3151759050,0,-20955100,-539670450,4905171400,2003522350,-1741141550,29574350,-291955150,0
2021-06-24,-241868100,-90381600,-1260304050,-2139386150,-206728450,0,-2033671200,5032382550,542632450,425036250,-27711700,-939957000,0
2021-06-25,126631150,-375471600,66691950,-127901900,0,-30529350,-117806750,-206659300,-71577850,782098300,-45474650,-665045800,0
2021-06-28,922493600,-153377850,60633600,109800,0,-19544050,-104076300,-2073248450,378050650,1063403850,-74444850,-1367009650,0
2021-06-29,-240931700,47019150,281951200,-381691850,0,-11985600,-1753528850,-5954303200,5728587700,2254934850,29948300,-8013470850,0
2021-06-30,219077600,145692250,-29737000,-668886400,0,-11951950,-70713550,-2936020800,3414748400,-68282700,6074150,-3352539850,0
2021-07-01,-694490400,-948307800,-717627700,-48891300,0,-41236850,-679395450,4027461500,342427950,-1265181400,25241450,897512000,0
