날짜,금융투자,보험,투신,사모,은행,기타금융,연기금,기타법인,개인,외국인,기타외국인,전체,기관합계
2021-08-25,-5769,-21,-197,115,0,0,-44544,71629,35726,-57105,166,0,21213
2021-08-26,17083,79,-1,-2039,0,0,5104,160453,-111638,-68763,-278,0,180679
2021-08-27,-8275,-91,-1034,0,0,0,0,162130,-88908,-61789,-2033,0,152730
2021-08-30,-27764,-4052,32037,13781,0,10580,4164,2794,22798,-53827,-511,0,31540
2021-08-31,21283,17,-2048,3902,0,0,3631,139658,-154825,-14433,2815,0,166443
2021-09-01,-37059,-3513,-4722,-988,0,0,0,72871,37179,-58167,-5601,0,26589
2021-09-02,61002,23649,38323,117814,0,0,93456,-427684,27131,73710,-7401,0,-93440
2021-09-03,-34533,-1449,-5895,959,0,0,-68264,260356,-68209,-82747,-218,0,151174
2021-09-06,-2951,-298,-15122,-82489,0,0,-68925,-512873,505902,176150,606,0,-682658
2021-09-07,5798,-505,-10467,-1017,0,0,-14019,28406,-50978,42500,282,0,8196
2021-09-08,10453,36,-38585,-1746,0,0,-60931,261535,-138831,-30488,-1443,0,170762
2021-09-09,19384,16,8965,-26432,0,1190,-36977,194701,160667,-321529,15,0,160847
2021-09-10,-1777,524,34832,78262,0,1190,-84912,278574,-346124,39429,2,0,306693
2021-09-13,-30932,-9971,13854,-18248,0,0,-54203,167368,202182,-270883,833,0,67868
2021-09-14,27672,191,32259,31328,0,0,-52197,-88486,-44050,98359,-5076,0,-49233
2021-09-15,-87234,22772,2442,-95748,-630,681,-52164,30357,-322827,500726,1625,0,-179524
2021-09-16,-40715,-4612,-7295,-188382,905,713,-67187,325314,184983,-204549,825,0,18741
2021-09-17,53396,-12991,-55493,-48600,591,772,1635,-487800,649687,-105868,4671,0,-548490
2021-09-23,20751,13,-3041,-22588,0,-683,0,24374,-420519,403410,-1717,0,18826
2021-09-24,-2823,-1882,4833,-1522,0,2924,0,-226260,328673,-102473,-1470,0,-224730
2021-09-27,7780,0,-2577,-868,0,0,-6916,61063,-28145,-26973,-3364,0,58482
2021-09-28,-21990,-1640,-1965,-24493,0,0,-9523,151229,-95576,5175,-1217,0,91618
2021-09-29,20288,-8,7650,-28136,0,437,104,55197,-10427,-44902,-203,0,55532
2021-09-30,-23908,-4413,0,-2474,0,0,-18164,113775,-58427,-6103,-286,0,64816
2021-10-01,-11951,-34968,-2825,-3142,0,0,-26116,179104,26410,-126471,-41,0,100102
2021-10-05,217064,-173,3634,6788,276,-20,3239,-459903,-109548,348627,-9984,0,-229095
2021-10-06,107438,-48,-75432,-22995,0,0,0,229098,89734,-330773,2978,0,238061
2021-10-07,56992,-5,-11862,-5905,0,0,-52729,181587,-148392,-17878,-1808,0,168078
2021-10-08,-3765,-346,-2841,576,0,0,-61521,-29976,78981,19256,-364,0,-97873
